%Molecule Name    : M-Xylene
%Description      :  p-silicalite gcmc final run
%Temperature      :     300.00
%Max Loading/uc   :       6.00
%Number of Points : 4001
%Type of file     :    2
%  Pressure     N         sigma      
%  kpa          mol/uc    ,ol/uc     
  1.880000000000000E-003   1.63487014064412        1.47570208649371     
  1.885000000000000E-003   1.63852198138456        1.48004829959147     
  1.890000000000000E-003   1.64217227314987        1.48439451268922     
  1.895000000000000E-003   1.64582102069228        1.48873704929867     
  1.900000000000000E-003   1.64946822873697        1.49307958590812     
  1.905000000000000E-003   1.65311390198223        1.49741846846485     
  1.910000000000000E-003   1.65675804509975        1.50175735102158     
  1.915000000000000E-003   1.66040066273480        1.50609260170757     
  1.920000000000000E-003   1.66404175950646        1.51042785239356     
  1.925000000000000E-003   1.66768134000784        1.51475949314135     
  1.930000000000000E-003   1.67131940880627        1.51909113388915     
  1.935000000000000E-003   1.67495597044354        1.52341918638592     
  1.940000000000000E-003   1.67859102943610        1.52774723888269     
  1.945000000000000E-003   1.68222459027526        1.53207172457426     
  1.950000000000000E-003   1.68585665742738        1.53639621026583     
  1.955000000000000E-003   1.68948723533411        1.54071715036057     
  1.960000000000000E-003   1.69311632841256        1.54503809045530     
  1.965000000000000E-003   1.69674394105550        1.54935550592794     
  1.970000000000000E-003   1.70037007763159        1.55367292140057     
  1.975000000000000E-003   1.70399474248550        1.55798683299597     
  1.980000000000000E-003   1.70761793993819        1.56230074459137     
  1.985000000000000E-003   1.71123967428704        1.56661117282817     
  1.990000000000000E-003   1.71485994980604        1.57092160106498     
  1.995000000000000E-003   1.71847877074600        1.57522856623921     
  2.000000000000000E-003   1.72209614133474        1.57953553141344     
  2.005000000000000E-003   1.72571206577723        1.58383905360202     
  2.010000000000000E-003   1.72932654825581        1.58814257579060     
  2.015000000000000E-003   1.73293959293034        1.59244267485477     
  2.020000000000000E-003   1.73655120393841        1.59674277391895     
  2.025000000000000E-003   1.74016138539547        1.60103946950769     
  2.030000000000000E-003   1.74377014139504        1.60533616509643     
  2.035000000000000E-003   1.74737747600885        1.60962947664971     
  2.040000000000000E-003   1.75098339328706        1.61392278820298     
  2.045000000000000E-003   1.75458789725835        1.61821273495502     
  2.050000000000000E-003   1.75819099193016        1.62250268170706     
  2.055000000000000E-003   1.76179268128881        1.62678928268950     
  2.060000000000000E-003   1.76539296929967        1.63107588367195     
  2.065000000000000E-003   1.76899185990734        1.63535915771696     
  2.070000000000000E-003   1.77258935703577        1.63964243176198     
  2.075000000000000E-003   1.77618546458848        1.64392239750531     
  2.080000000000000E-003   1.77978018644863        1.64820236324864     
  2.085000000000000E-003   1.78337352647926        1.65247903913257     
  2.090000000000000E-003   1.78696548852338        1.65675571501650     
  2.095000000000000E-003   1.79055607640417        1.66102911929279     
  2.100000000000000E-003   1.79414529392508        1.66530252356909     
  2.105000000000000E-003   1.79773314487001        1.66957267430186     
  2.110000000000000E-003   1.80131963300347        1.67384282503463     
  2.115000000000000E-003   1.80490476207068        1.67810974010314     
  2.120000000000000E-003   1.80848853579775        1.68237665517165     
  2.125000000000000E-003   1.81207095789181        1.68664035227305     
  2.130000000000000E-003   1.81565203204117        1.69090404937446     
  2.135000000000000E-003   1.81923176191541        1.69516454602653     
  2.140000000000000E-003   1.82281015116557        1.69942504267861     
  2.145000000000000E-003   1.82638720342428        1.70368235622238     
  2.150000000000000E-003   1.82996292230586        1.70793966976615     
